Flows,In_out_bytes,In_out_pckts,Protocol_flags,IPV4_SRC_ADDR,L4_SRC_PORT,IPV4_DST_ADDR,L4_DST_PORT,PROTOCOL,IN_BYTES,OUT_BYTES,IN_PKTS,OUT_PKTS,TCP_FLAGS,FLOW_DURATION_MILLISECONDS,Label,file,model,ds,step
300,7,5,4,290,15,25,11,5,5,4,5,4,4,4,4,../../Datasets/Queensland_NetFlow/synthetic/gpt2_data_clean/NF-CSE-CIC-IDS2018_step-0500.csv,04-gpt2,NF-CSE-CIC-IDS2018,500
175,3,0,0,173,3,6,3,2,1,0,0,0,0,0,0,../../Datasets/Queensland_NetFlow/synthetic/gpt2_data_clean/NF-CSE-CIC-IDS2018_step-1000.csv,04-gpt2,NF-CSE-CIC-IDS2018,1000
24,0,0,1,23,0,0,0,0,0,0,0,0,0,0,0,../../Datasets/Queensland_NetFlow/synthetic/gpt2_data_clean/NF-CSE-CIC-IDS2018_step-10000.csv,04-gpt2,NF-CSE-CIC-IDS2018,10000
105,0,0,0,104,0,2,0,0,0,0,0,0,0,0,0,../../Datasets/Queensland_NetFlow/synthetic/gpt2_data_clean/NF-CSE-CIC-IDS2018_step-1500.csv,04-gpt2,NF-CSE-CIC-IDS2018,1500
92,0,0,2,88,0,2,0,0,0,0,0,0,0,0,0,../../Datasets/Queensland_NetFlow/synthetic/gpt2_data_clean/NF-CSE-CIC-IDS2018_step-2000.csv,04-gpt2,NF-CSE-CIC-IDS2018,2000
54,0,0,1,53,0,0,0,0,0,0,0,0,0,0,0,../../Datasets/Queensland_NetFlow/synthetic/gpt2_data_clean/NF-CSE-CIC-IDS2018_step-2500.csv,04-gpt2,NF-CSE-CIC-IDS2018,2500
51,0,0,2,45,0,5,0,0,0,0,0,0,0,0,0,../../Datasets/Queensland_NetFlow/synthetic/gpt2_data_clean/NF-CSE-CIC-IDS2018_step-3000.csv,04-gpt2,NF-CSE-CIC-IDS2018,3000
57,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,../../Datasets/Queensland_NetFlow/synthetic/gpt2_data_clean/NF-CSE-CIC-IDS2018_step-3500.csv,04-gpt2,NF-CSE-CIC-IDS2018,3500
64,0,0,0,63,0,1,0,0,0,0,0,0,0,0,1,../../Datasets/Queensland_NetFlow/synthetic/gpt2_data_clean/NF-CSE-CIC-IDS2018_step-4000.csv,04-gpt2,NF-CSE-CIC-IDS2018,4000
43,0,0,1,41,0,3,0,0,0,0,0,0,0,0,0,../../Datasets/Queensland_NetFlow/synthetic/gpt2_data_clean/NF-CSE-CIC-IDS2018_step-4500.csv,04-gpt2,NF-CSE-CIC-IDS2018,4500
41,0,0,1,40,0,1,0,0,0,0,0,0,0,0,0,../../Datasets/Queensland_NetFlow/synthetic/gpt2_data_clean/NF-CSE-CIC-IDS2018_step-5000.csv,04-gpt2,NF-CSE-CIC-IDS2018,5000
33,0,0,2,31,0,2,0,0,0,0,0,0,0,0,0,../../Datasets/Queensland_NetFlow/synthetic/gpt2_data_clean/NF-CSE-CIC-IDS2018_step-5500.csv,04-gpt2,NF-CSE-CIC-IDS2018,5500
36,0,0,1,35,0,2,0,0,0,0,0,0,0,0,0,../../Datasets/Queensland_NetFlow/synthetic/gpt2_data_clean/NF-CSE-CIC-IDS2018_step-6000.csv,04-gpt2,NF-CSE-CIC-IDS2018,6000
34,0,0,1,33,0,2,0,0,0,0,0,0,0,0,0,../../Datasets/Queensland_NetFlow/synthetic/gpt2_data_clean/NF-CSE-CIC-IDS2018_step-6500.csv,04-gpt2,NF-CSE-CIC-IDS2018,6500
31,0,0,2,29,0,0,0,0,0,0,0,0,0,0,0,../../Datasets/Queensland_NetFlow/synthetic/gpt2_data_clean/NF-CSE-CIC-IDS2018_step-7000.csv,04-gpt2,NF-CSE-CIC-IDS2018,7000
39,0,0,1,38,0,1,0,0,0,0,0,0,0,0,0,../../Datasets/Queensland_NetFlow/synthetic/gpt2_data_clean/NF-CSE-CIC-IDS2018_step-7500.csv,04-gpt2,NF-CSE-CIC-IDS2018,7500
23,0,0,0,22,0,1,0,0,0,0,0,0,0,0,0,../../Datasets/Queensland_NetFlow/synthetic/gpt2_data_clean/NF-CSE-CIC-IDS2018_step-8000.csv,04-gpt2,NF-CSE-CIC-IDS2018,8000
25,0,0,1,24,0,0,0,0,0,0,0,0,0,0,0,../../Datasets/Queensland_NetFlow/synthetic/gpt2_data_clean/NF-CSE-CIC-IDS2018_step-8500.csv,04-gpt2,NF-CSE-CIC-IDS2018,8500
31,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,../../Datasets/Queensland_NetFlow/synthetic/gpt2_data_clean/NF-CSE-CIC-IDS2018_step-9000.csv,04-gpt2,NF-CSE-CIC-IDS2018,9000
28,0,0,1,27,0,0,0,0,0,0,0,0,0,0,0,../../Datasets/Queensland_NetFlow/synthetic/gpt2_data_clean/NF-CSE-CIC-IDS2018_step-9500.csv,04-gpt2,NF-CSE-CIC-IDS2018,9500
752,12,4,3,729,9,40,12,3,3,3,3,3,3,2,5,../../Datasets/Queensland_NetFlow/synthetic/gpt2_data_clean/NF-ToN-IoT_step-0500.csv,04-gpt2,NF-ToN-IoT,500
786,1,0,0,774,5,21,5,0,0,1,0,0,0,0,0,../../Datasets/Queensland_NetFlow/synthetic/gpt2_data_clean/NF-ToN-IoT_step-1000.csv,04-gpt2,NF-ToN-IoT,1000
259,0,0,0,258,0,1,0,0,0,0,0,0,0,0,0,../../Datasets/Queensland_NetFlow/synthetic/gpt2_data_clean/NF-ToN-IoT_step-10000.csv,04-gpt2,NF-ToN-IoT,10000
684,3,0,0,679,3,12,3,0,1,0,0,0,0,0,1,../../Datasets/Queensland_NetFlow/synthetic/gpt2_data_clean/NF-ToN-IoT_step-1500.csv,04-gpt2,NF-ToN-IoT,1500
647,0,0,0,641,3,11,0,1,0,0,0,0,0,0,0,../../Datasets/Queensland_NetFlow/synthetic/gpt2_data_clean/NF-ToN-IoT_step-2000.csv,04-gpt2,NF-ToN-IoT,2000
526,0,2,1,519,3,10,1,0,0,0,0,0,0,0,0,../../Datasets/Queensland_NetFlow/synthetic/gpt2_data_clean/NF-ToN-IoT_step-2500.csv,04-gpt2,NF-ToN-IoT,2500
476,0,0,0,475,2,6,1,0,0,0,0,0,0,0,0,../../Datasets/Queensland_NetFlow/synthetic/gpt2_data_clean/NF-ToN-IoT_step-3000.csv,04-gpt2,NF-ToN-IoT,3000
529,1,0,0,528,1,1,0,0,0,1,0,0,0,0,0,../../Datasets/Queensland_NetFlow/synthetic/gpt2_data_clean/NF-ToN-IoT_step-3500.csv,04-gpt2,NF-ToN-IoT,3500
515,1,0,1,509,3,7,1,0,0,0,0,0,0,0,0,../../Datasets/Queensland_NetFlow/synthetic/gpt2_data_clean/NF-ToN-IoT_step-4000.csv,04-gpt2,NF-ToN-IoT,4000
415,0,0,0,413,0,4,1,0,0,0,0,0,0,0,0,../../Datasets/Queensland_NetFlow/synthetic/gpt2_data_clean/NF-ToN-IoT_step-4500.csv,04-gpt2,NF-ToN-IoT,4500
420,0,0,0,417,2,4,1,0,0,0,0,0,0,0,0,../../Datasets/Queensland_NetFlow/synthetic/gpt2_data_clean/NF-ToN-IoT_step-5000.csv,04-gpt2,NF-ToN-IoT,5000
