,ds_1,sample_1,ds_2,sample_2,model,Data Dissimilarity Score,Domain Dissimilarity Score,Data Dissimilarity Score_std,Domain Dissimilarity Score_std
0,NF-CSE-CIC-IDS2018,0,NF-CSE-CIC-IDS2018,1,04-real,0.3666019048726086,0.28038359376190575,0.287231087977872,0.254019682450702
1,NF-CSE-CIC-IDS2018,0,NF-CSE-CIC-IDS2018,10,04-real,0.33400916487948307,0.27908687894308754,0.3102692907725922,0.2536495483200622
2,NF-CSE-CIC-IDS2018,0,NF-CSE-CIC-IDS2018,11,04-real,0.3359281843706802,0.2820882557829406,0.31912749342493757,0.2586137757398395
3,NF-CSE-CIC-IDS2018,0,NF-CSE-CIC-IDS2018,12,04-real,0.33842299980969304,0.28075151464062853,0.31585408964047323,0.25584187214776105
4,NF-CSE-CIC-IDS2018,0,NF-CSE-CIC-IDS2018,13,04-real,0.33665715636290827,0.28111909260965645,0.31854385764745785,0.2560692258452284
5,NF-CSE-CIC-IDS2018,0,NF-CSE-CIC-IDS2018,14,04-real,0.3331185264325148,0.281496056129846,0.32195311248116304,0.2559529469907999
6,NF-CSE-CIC-IDS2018,0,NF-CSE-CIC-IDS2018,15,04-real,0.32945535208315074,0.2840598167872254,0.3212731879145114,0.25647321060506323
7,NF-CSE-CIC-IDS2018,0,NF-CSE-CIC-IDS2018,16,04-real,0.3335846216595546,0.2806074036153049,0.3224819822883281,0.2556694817576864
8,NF-CSE-CIC-IDS2018,0,NF-CSE-CIC-IDS2018,17,04-real,0.34162525060781995,0.2817154121907911,0.3161258359700038,0.2545094906894757
9,NF-CSE-CIC-IDS2018,0,NF-CSE-CIC-IDS2018,18,04-real,0.3383979448853188,0.2841921588176316,0.31749882200996044,0.256619065118629
10,NF-CSE-CIC-IDS2018,0,NF-CSE-CIC-IDS2018,19,04-real,0.3390370124232841,0.28281216540271725,0.3165616511441483,0.26150565149716365
11,NF-CSE-CIC-IDS2018,0,NF-CSE-CIC-IDS2018,2,04-real,0.3298302974023698,0.2789032189478514,0.31921054919428166,0.2539198571229363
12,NF-CSE-CIC-IDS2018,0,NF-CSE-CIC-IDS2018,20,04-real,0.3390103631661099,0.28060607742779586,0.3176903717298229,0.2538435405044987
13,NF-CSE-CIC-IDS2018,0,NF-CSE-CIC-IDS2018,21,04-real,0.3343573890076862,0.2800796523378393,0.3161140094145248,0.25513109275563844
14,NF-CSE-CIC-IDS2018,0,NF-CSE-CIC-IDS2018,22,04-real,0.33616538144710617,0.281839165814739,0.3147868703251554,0.25581010143069066
15,NF-CSE-CIC-IDS2018,0,NF-CSE-CIC-IDS2018,23,04-real,0.34371273363829025,0.28331348770913306,0.30889021022905433,0.2581835980278752
16,NF-CSE-CIC-IDS2018,0,NF-CSE-CIC-IDS2018,24,04-real,0.34388847941862893,0.28094692703170016,0.31153327984729506,0.2560309960441686
17,NF-CSE-CIC-IDS2018,0,NF-CSE-CIC-IDS2018,25,04-real,0.3380501954935107,0.2831655666614237,0.321195413271988,0.2588516564781478
18,NF-CSE-CIC-IDS2018,0,NF-CSE-CIC-IDS2018,26,04-real,0.3435177513198787,0.27845766989512305,0.3037559358422401,0.2518709041959334
19,NF-CSE-CIC-IDS2018,0,NF-CSE-CIC-IDS2018,27,04-real,0.3347827313782032,0.2829306984625447,0.3211094215777377,0.25632529820328026
20,NF-CSE-CIC-IDS2018,0,NF-CSE-CIC-IDS2018,28,04-real,0.3352697434738849,0.28144972826875425,0.32242437114991607,0.254557869617729
21,NF-CSE-CIC-IDS2018,0,NF-CSE-CIC-IDS2018,29,04-real,0.3322209593512602,0.2819603540438859,0.3210999495097138,0.25335336957273585
22,NF-CSE-CIC-IDS2018,0,NF-CSE-CIC-IDS2018,3,04-real,0.33780494770680525,0.2788708643714796,0.31736427098643594,0.2551271850954776
